"","AU","PY","TI"
"BATTY M, 1976, ENVIRON PLANN A","BATTY M;MARCH L",1976,"METHOD OF RESIDUES IN URBAN MODELING"
"HARRIS B, 1978, ENVIRON PLANN A","HARRIS B;WILSON AG",1978,"EQUILIBRIUM VALUES AND DYNAMICS OF ATTRACTIVENESS TERMS IN PRODUCTION-CONSTRAINED SPATIAL-INTERACTION MODELS"
"LEONARDI G, 1978, ENVIRON PLANN A","LEONARDI G",1978,"OPTIMUM FACILITY LOCATION BY ACCESSIBILITY MAXIMIZING"
"MORRIS JM, 1979, TRANSPORT RES A-POL","MORRIS JM;DUMBLE PL;WIGAN MR",1979,"ACCESSIBILITY INDICATORS FOR TRANSPORT PLANNING"
"WEIBULL JW, 1980, ENVIRON PLANN A","WEIBULL JW",1980,"NUMERICAL MEASUREMENT OF ACCESSIBILITY"
"BEAUMONT JR, 1981, SOCIO ECON PLAN SCI","BEAUMONT JR",1981,"LOCATION-ALLOCATION PROBLEMS IN A PLANE - A REVIEW OF SOME MODELS"
"FOTHERINGHAM AS, 1981, ANN ASSOC AM GEOGR","FOTHERINGHAM AS",1981,"SPATIAL STRUCTURE AND DISTANCE-DECAY PARAMETERS"
"LEONARDI G, 1984, REG SCI URBAN ECON","LEONARDI G;TADEI R",1984,"RANDOM UTILITY DEMAND MODELS AND SERVICE LOCATION"
"FOTHERINGHAM AS, 1985, ENVIRON PLANN A","FOTHERINGHAM AS",1985,"SPATIAL COMPETITION AND AGGLOMERATION IN URBAN MODELING"
"HANDY SL, 1997, ENVIRON PLANN A","HANDY SL;NIEMEIER DA",1997,"MEASURING ACCESSIBILITY: AN EXPLORATION OF ISSUES AND ALTERNATIVES"
"KWAN MP, 1998, GEOGR ANAL","KWAN MP",1998,"SPACE-TIME AND INTEGRAL MEASURES OF INDIVIDUAL ACCESSIBILITY: A COMPARATIVE ANALYSIS USING A POINT-BASED FRAMEWORK"
"SHEN Q, 1998, ENVIRON PLANN B","SHEN Q",1998,"LOCATION CHARACTERISTICS OF INNER-CITY NEIGHBORHOODS AND EMPLOYMENT ACCESSIBILITY OF LOW-WAGE WORKERS"
"ZHANG M, 1998, TRANSPORT RES REC","ZHANG M;SHEN Q;SUSSMAN J",1998,"JOB ACCESSIBILITY IN THE SAN JUAN METROPOLITAN REGION - IMPLICATIONS FOR RAIL TRANSIT BENEFIT ANALYSIS"
"MILLER HJ, 1999, GEOGR ANAL","MILLER HJ",1999,"MEASURING SPACE-TIME ACCESSIBILITY BENEFITS WITHIN TRANSPORTATION NETWORKS: BASIC THEORY AND COMPUTATIONAL PROCEDURES"
"OCCELLI S, 2000, ADV SPAT SCI","OCCELLI S",2000,"REVISITING THE CONCEPT OF ACCESSIBILITY: SOME COMMENTS AND RESEARCH QUESTIONS"
